Kode Produk;Produk;Status Produk Saat Ini;Kode Variasi;Nama Variasi;Pengunjung Produk (Kunjungan);Halaman Produk Dilihat;Pengunjung Melihat Tanpa Membeli;Tingkat Pengunjung Melihat Tanpa Membeli;Klik Pencarian;Suka;Pengunjung Produk (Menambahkan Produk ke Keranjang);Dimasukkan ke Keranjang (Produk);Tingkat Konversi Produk Dimasukkan ke Keranjang;Total Pembeli (Pesanan Dibuat);Produk (Pesanan Dibuat);Total Penjualan (Pesanan Dibuat) (IDR);Tingkat Konversi (Pesanan yang Dibuat);Total Pembeli (Pesanan Siap Dikirim);Produk (Pesanan Siap Dikirim);Penjualan (Pesanan Siap Dikirim) (IDR);Tingkat Konversi (Pesanan Siap Dikirim);Tingkat Konversi (Pesanan Siap Dikirim dibagi Pesanan Dibuat);% Pembelian Ulang (Pesanan Siap Dikirim)
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;2,15269E+11;Hitam + Warna (CMY);0;0;0;0;0;0;2;4;0,00;1;1;447455,00;0,00;1;1;447455,00;0,00;100,00;0,00
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;2,15269E+11;Hitam;0;0;0;0;0;0;2;2;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;2,15269E+11;Cyan;0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
28206343580;Tinta Canon Pixma 790 Black, Cyan, Magenta, Yellow Original;Normal;2,15269E+11;Magenta;0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29057330395;Tinta Epson 664 Hitam dan Warna;Normal;0;-;12;22;3;25;3;0;4;4;33,33;1;1;91807,00;8,33;1;1;91807,00;8,33;100,00;0,00
29057330395;Tinta Epson 664 Hitam dan Warna;Normal;2,23079E+11;Hitam;0;0;0;0;0;0;1;1;0,00;1;1;91807,00;0,00;1;1;91807,00;0,00;100,00;0,00
29057330395;Tinta Epson 664 Hitam dan Warna;Normal;2,23079E+11;Magenta;0;0;0;0;0;0;1;1;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29057330395;Tinta Epson 664 Hitam dan Warna;Normal;2,23079E+11;Kuning;0;0;0;0;0;0;2;2;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
29154686851;Printer Canon PIXMA IP2770;Normal;0;-;42;81;21;50;36;0;7;15;16,67;1;1;805116,00;2,38;1;1;805116,00;2,38;100,00;0,00
29356094430;Tinta HP GT52 Yellow, Cyan dan Magenta;Normal;0;-;6;12;4;67;5;0;1;2;16,67;1;1;92400,00;16,67;1;1;92400,00;16,67;100,00;0,00
29356094430;Tinta HP GT52 Yellow, Cyan dan Magenta;Normal;39795654933;Kuning;0;0;0;0;0;0;1;2;0,00;1;1;92400,00;0,00;1;1;92400,00;0,00;100,00;0,00
29456042055;ASUS Vivobook 14 A1404ZA IPS321 Core i3 1215U 8GB 256GB;Normal;0;-;43;77;16;37;35;0;4;5;9,30;1;1;6517000,00;2,33;1;1;6517000,00;2,33;100,00;0,00
22864761433;Logitech M171 Mouse Wireless untuk Windows, Mac, ChromeOS - Off White;Normal;0;-;3;10;1;33;1;0;1;2;33,33;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24033264671;Flashdisk ROBOT RF108 8GB Rotatable;Normal;0;-;2;3;1;50;0;0;1;1;50,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24083889317;Flashdisk SanDisk Ultra USB 3.0 16GB Dual Drive;Normal;0;-;1;2;0;0;0;0;0;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24433156608;Laptop HP 14S-FQ1009AU (Silver) (Ryzen3-5300U, 4GB+4GB DDR4 512 GB PCIe NVMe™ M.2 SSD, NO ODD, 14 FHD IPS; Backlit Keyboard;" Win11 + OHS)""""";Normal;0;-;8;40;4;50;1;0;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24683860832;Cartridge Canon 745s dan 746s Original 100%;Normal;0;-;22;43;3;14;18;0;4;6;18,18;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24683860832;Cartridge Canon 745s dan 746s Original 100%;Normal;1,08412E+11;Hitam;0;0;0;0;0;0;2;2;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
24683860832;Cartridge Canon 745s dan 746s Original 100%;Normal;1,08412E+11;Warna (CMY);0;0;0;0;0;0;2;4;0,00;0;0;0,00;0,00;0;0;0,00;0,00;0,00;0,00
